val1,val2,val3,val4,best_move,dist_to_id
1.0,0.0,-9.0,1.0,1.0,7.0
1.0,6.0,-9.0,-53.0,2.0,7.0
10.0,3.0,-87.0,-26.0,3.0,7.0
1.0,0.0,-9.0,1.0,0.0,7.0
-8.0,3.0,69.0,-26.0,1.0,7.0
1.0,3.0,-12.0,-35.0,2.0,7.0
1.0,0.0,-9.0,1.0,3.0,7.0
1.0,-3.0,-12.0,37.0,0.0,7.0
1.0,0.0,-15.0,1.0,1.0,7.0
1.0,0.0,-9.0,1.0,2.0,7.0
-8.0,-3.0,75.0,28.0,3.0,7.0
1.0,-6.0,-9.0,55.0,0.0,7.0
10.0,-3.0,-93.0,28.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
1.0,6.0,-9.0,-53.0,2.0,7.0
10.0,3.0,-87.0,-26.0,3.0,7.0
1.0,0.0,-9.0,1.0,0.0,7.0
-8.0,3.0,69.0,-26.0,1.0,7.0
10.0,27.0,-63.0,-170.0,2.0,7.0
1.0,-3.0,-6.0,19.0,3.0,7.0
10.0,-33.0,-63.0,208.0,0.0,7.0
19.0,-3.0,-120.0,19.0,1.0,7.0
1.0,-3.0,-6.0,19.0,2.0,7.0
-17.0,-6.0,105.0,37.0,3.0,7.0
1.0,-9.0,-6.0,55.0,0.0,7.0
19.0,-6.0,-117.0,37.0,1.0,7.0
-8.0,-27.0,51.0,172.0,2.0,7.0
-17.0,-3.0,108.0,19.0,3.0,7.0
-8.0,21.0,51.0,-134.0,0.0,7.0
1.0,-3.0,-6.0,19.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
1.0,0.0,-3.0,1.0,2.0,7.0
-8.0,-3.0,27.0,10.0,3.0,7.0
1.0,-6.0,-3.0,19.0,0.0,7.0
10.0,-3.0,-33.0,10.0,1.0,7.0
1.0,3.0,0.0,1.0,2.0,7.0
1.0,0.0,3.0,1.0,3.0,7.0
